0.033333	-0.0010122
0.066667	-0.00092905
0.1	-0.0008898
0.13333	-0.00081748
0.16667	-0.00078625
0.2	-0.00071949
0.23333	-0.00063602
0.26667	-0.00055892
0.3	-0.00052013
0.33333	-0.00043115
0.36667	-0.0003934
0.4	-0.00028947
0.43333	-0.0001891
0.46667	-0.00017852
0.5	0
0.53333	-7.7055e-05
0.56667	2.5795e-05
0.6	9.3221e-05
0.63333	0.00019342
0.66667	0.00028
0.7	0.00037545
0.73333	0.00044087
0.76667	0.00058413
0.8	0.00068442
0.83333	0.00083793
0.86667	0.00094127
0.9	0.0010717
0.93333	0.0011584
0.96667	0.0013157
1	0.0014486
1.0333	0.0016453
1.0667	0.0017912
1.1	0.0020072
1.1333	0.0021717
1.1667	0.0023823
1.2	0.0025998
1.2333	0.0028164
1.2667	0.0030372
1.3	0.0032726
1.3333	0.0035265
1.3667	0.0037664
1.4	0.0039169
1.4333	0.0040362
1.4667	0.0040711
1.5	0.00398
1.5333	0.0037113
1.5667	0.0032108
1.6	0.0025473
1.6333	0.0015336
1.6667	0.00014137
1.7	-0.0015933
1.7333	-0.003565
1.7667	-0.0058352
1.8	-0.0082813
1.8333	-0.010719
1.8667	-0.013052
1.9	-0.015107
1.9333	-0.016749
1.9667	-0.017797
2	-0.01824
2.0333	-0.018013
2.0667	-0.017262
2.1	-0.016071
2.1333	-0.014618
2.1667	-0.013015
2.2	-0.011407
2.2333	-0.0098697
2.2667	-0.008509
2.3	-0.0073405
2.3333	-0.0062404
2.3667	-0.0053695
2.4	-0.0046286
2.4333	-0.0040153
2.4667	-0.0035509
2.5	-0.0031642
2.5333	-0.0028905
2.5667	-0.0026488
2.6	-0.0024288
2.6333	-0.0021909
2.6667	-0.0019989
2.7	-0.0017756
2.7333	-0.0015475
2.7667	-0.0013183
2.8	-0.0011765
2.8333	-0.0010706
2.8667	-0.0009622
2.9	-0.00098839
2.9333	-0.0010748
2.9667	-0.0011687
3	-0.0014161
3.0333	-0.0017457
3.0667	-0.0021767
3.1	-0.0026893
3.1333	-0.0033028
3.1667	-0.0039359
3.2	-0.0045586
3.2333	-0.0052218
3.2667	-0.005809
3.3	-0.0063266
3.3333	-0.006693
3.3667	-0.0070026
3.4	-0.00714
3.4333	-0.007034
3.4667	-0.0068742
3.5	-0.0065451
3.5333	-0.0061415
3.5667	-0.0056768
3.6	-0.005234
3.6333	-0.0047996
3.6667	-0.0044333
3.7	-0.0041034
3.7333	-0.0038363
3.7667	-0.0036378
3.8	-0.0034578
3.8333	-0.0033804
3.8667	-0.0033473
3.9	-0.0032892
3.9333	-0.003305
3.9667	-0.0033723
4	-0.0034076
4.0333	-0.0034318
4.0667	-0.0035141
4.1	-0.0034337
4.1333	-0.0034387
4.1667	-0.0034144
4.2	-0.0033728
4.2333	-0.0032711
4.2667	-0.0031208
4.3	-0.0030607
4.3333	-0.0028807
4.3667	-0.002736
4.4	-0.0026161
4.4333	-0.0025225
4.4667	-0.0023584
4.5	-0.0022695
4.5333	-0.0021269
4.5667	-0.0020143
4.6	-0.0019002
4.6333	-0.0017828
4.6667	-0.0016868
4.7	-0.0015372
4.7333	-0.0014637
4.7667	-0.0012772
4.8	-0.0010757
4.8333	-0.00087774
4.8667	-0.00070306
4.9	-0.00054184
4.9333	-0.00032476
4.9667	-0.00010655
5	0.00010578
5.0333	0.00034215
5.0667	0.00056161
5.1	0.00081382
5.1333	0.0010821
5.1667	0.0014001
5.2	0.0016994
5.2333	0.002004
5.2667	0.0023386
5.3	0.0026419
5.3333	0.002962
5.3667	0.0032701
5.4	0.003655
5.4333	0.0039812
5.4667	0.0042646
5.5	0.0046045
5.5333	0.0049295
5.5667	0.0052532
5.6	0.0055855
5.6333	0.0059398
5.6667	0.0062277
5.7	0.0065789
5.7333	0.0068761
5.7667	0.0072475
5.8	0.0075443
5.8333	0.0078842
